id,status_group
0,non functional
1,functional
2,functional
3,non functional
4,functional
5,functional
6,functional
7,non functional
8,non functional
9,functional
10,functional
11,non functional
12,non functional
13,non functional
14,functional
15,functional
16,functional needs repair
17,functional
18,functional needs repair
19,non functional
20,functional
21,functional
22,non functional
23,non functional
24,functional
25,functional
26,non functional
27,non functional
28,functional needs repair
29,functional needs repair
30,functional
31,non functional
32,non functional
33,functional
34,functional
35,functional
36,functional
37,functional needs repair
38,non functional
39,non functional
40,functional
41,functional
42,non functional
43,non functional
44,functional
45,non functional
46,functional
47,functional
48,functional needs repair
49,functional needs repair
50,functional
51,functional needs repair
52,functional
53,non functional
54,non functional
55,non functional
56,functional needs repair
57,non functional
58,functional
59,functional
60,functional
61,functional needs repair
62,functional
63,non functional
64,functional
65,functional
66,functional
67,non functional
68,functional
69,functional
70,non functional
71,functional needs repair
72,functional
73,non functional
74,non functional
75,functional needs repair
76,functional
77,functional
78,functional
79,non functional
80,functional
81,functional needs repair
82,non functional
83,functional
84,functional
85,functional needs repair
86,functional needs repair
87,non functional
88,functional needs repair
89,functional
90,functional
91,non functional
92,functional needs repair
93,non functional
94,functional
95,functional
96,functional
97,functional
98,non functional
99,non functional
100,non functional
101,non functional
102,non functional
103,functional
104,functional
105,non functional
106,functional
107,functional
108,functional
109,non functional
110,functional
111,non functional
112,functional
113,functional
114,functional
115,functional
116,non functional
117,functional
118,functional
119,functional needs repair
120,non functional
121,functional needs repair
122,functional needs repair
123,functional
124,functional
125,functional
126,functional
127,functional
128,functional needs repair
129,functional
130,functional
131,functional
132,non functional
133,non functional
134,functional
135,functional needs repair
136,functional
137,functional needs repair
138,functional
139,functional
140,functional
141,functional needs repair
142,non functional
143,non functional
144,non functional
145,functional
146,non functional
147,non functional
148,non functional
149,non functional
150,functional needs repair
151,functional
152,functional needs repair
153,functional
154,functional needs repair
155,functional
156,functional
157,non functional
158,functional
159,non functional
160,functional
161,non functional
162,non functional
163,non functional
164,functional
165,non functional
166,functional
167,non functional
168,functional
169,functional
170,non functional
171,functional
172,functional
173,non functional
174,functional
175,functional needs repair
176,non functional
177,non functional
178,functional
179,functional
180,non functional
181,functional
182,functional
183,functional
184,non functional
185,non functional
186,functional
187,non functional
188,non functional
189,functional
190,functional needs repair
191,functional
192,functional needs repair
193,functional
194,functional
195,functional
196,functional
197,non functional
198,functional needs repair
199,non functional
200,functional
201,non functional
202,functional
203,functional needs repair
204,non functional
205,non functional
206,non functional
207,functional
208,functional
209,functional
210,functional
211,non functional
212,functional needs repair
213,functional
214,functional needs repair
215,functional
216,non functional
217,functional
218,non functional
219,functional
220,functional
221,non functional
222,functional needs repair
223,non functional
224,non functional
225,non functional
226,functional
227,functional
228,non functional
229,functional
230,non functional
231,non functional
232,functional
233,functional needs repair
234,non functional
235,functional
236,functional needs repair
237,functional
238,functional
239,functional
240,functional
241,non functional
242,functional
243,non functional
244,functional
245,functional
246,non functional
247,functional needs repair
248,functional
249,functional
250,functional needs repair
251,functional
252,non functional
253,functional
254,functional
255,functional
256,non functional
257,functional
258,functional
259,functional
260,functional
261,functional
262,functional
263,functional needs repair
264,functional needs repair
265,non functional
266,functional needs repair
267,non functional
268,functional
269,functional
270,functional
271,non functional
272,functional
273,functional
274,functional
275,functional
276,functional
277,functional
278,functional
279,functional
280,functional
281,functional needs repair
282,functional
283,functional needs repair
284,functional
285,functional
286,functional
287,functional needs repair
288,non functional
289,functional
290,functional
291,non functional
292,non functional
293,functional
294,functional needs repair
295,functional
296,non functional
297,functional needs repair
298,functional
299,functional needs repair
300,non functional
301,non functional
302,non functional
303,non functional
304,functional needs repair
305,non functional
306,functional
307,non functional
308,non functional
309,functional
310,functional
311,non functional
312,functional needs repair
313,functional needs repair
314,functional
315,functional
316,functional
317,functional needs repair
318,functional
319,functional
320,functional
321,non functional
322,functional
323,functional
324,non functional
325,functional
326,non functional
327,non functional
328,functional
329,non functional
330,functional
331,non functional
332,non functional
333,functional needs repair
334,non functional
335,functional
336,functional
337,non functional
338,functional
339,non functional
340,functional
341,non functional
342,functional
343,functional
344,non functional
345,functional
346,functional
347,functional
348,functional
349,functional needs repair
350,functional
351,functional
352,functional
353,functional
354,non functional
355,functional
356,functional needs repair
357,functional
358,functional
359,functional needs repair
360,functional
361,functional
362,functional needs repair
363,non functional
364,functional
365,functional
366,functional needs repair
367,functional
368,non functional
369,functional
370,non functional
371,non functional
372,functional needs repair
373,non functional
374,functional
375,non functional
376,functional
377,non functional
378,functional needs repair
379,non functional
380,functional needs repair
381,functional
382,functional
383,non functional
384,functional
385,functional needs repair
386,functional
387,functional
388,non functional
389,functional
390,non functional
391,functional
392,non functional
393,functional
394,functional
395,non functional
396,non functional
397,functional
398,functional
399,functional
400,functional
401,non functional
402,functional
403,non functional
404,non functional
405,non functional
406,functional
407,non functional
408,functional needs repair
409,functional needs repair
410,non functional
411,functional
412,non functional
413,functional needs repair
414,functional needs repair
415,functional
416,non functional
417,functional
418,functional needs repair
419,non functional
420,functional needs repair
421,non functional
422,functional needs repair
423,functional
424,functional needs repair
425,functional
426,functional
427,functional
428,non functional
429,functional
430,functional
431,non functional
432,functional
433,functional
434,non functional
435,functional
436,functional needs repair
437,non functional
438,functional
439,functional
440,functional needs repair
441,non functional
442,functional
443,non functional
444,functional
445,functional
446,non functional
447,non functional
448,functional
449,functional
450,non functional
451,non functional
452,non functional
453,functional
454,functional
455,non functional
456,functional
457,non functional
